chapter_number,cover_page,in_depth_summary,error
155,"Jango's Dance Paradise, Vol. 23: ""Seeya Later, Stupid Marines!!""
Having found a boat off Mirror Ball Island, Jango throws a parting taunt at all the Marines that remained ignorant of his real identity.","In Arabasta, the Warlord Crocodile is seen as a hero. Indeed we see him helping in the fight against pirates and be the subject of adoration by the people of Arabasta. Even Vivi's father king Cobra thanks him for his help.

Back on the Going Merry, Vivi explains these facts to the others. Arabasta people cannot imagine that the person who they see as a hero, is the one that is currently ruining their country. As a consequence, they have to stop the rebellion and then get rid of Baroque Works. When asked by Usopp about how the organization works, Vivi tells them of the pyramidal hierarchy and the main officer agents. But for Crocodile to take over Arabasta means that all the top agents are together somewhere in Vivi's country.",
156,"Color Spread: In a desert somewhere, beneath the skeleton of some great beast, the boys of the Straw Hat Pirates—all dressed in salvaged scraps—prepare for battle.","Five days after leaving Drum Island, the stock of food is shrinking. While crossing a smoke steam made by undersea volcanoes, Luffy and Usopp find an okama dressed like a swan. After saving him from drowning, he reveals that he ate a Devil Fruit. Making a show with his ability to imitate anybody he touches, the Okama strikes up an immediate friendship with the trio of Usopp, Chopper and Luffy. However, their encounter is cut short when the Okama's crew arrives to retrieve their captain. Leaving the Merry, he makes a promise of eternal friendship but, as his men greet him, his name is revealed to be Mr. 2 Bon Kurei. Understanding that they have met with an enemy, now able to usurp their identity, the Straw Hats decide to take countermeasure.",
157,"Jango's Dance Paradise, Vol. 24: ""The Hostage Girl"".
To Fullbody's dismay, the Tulip Pirates take a female civilian hostage.","After days of privation, the crew are finally reaching Arabasta. Before approaching, they prepare a countermeasure against Mr. 2's power by wearing a sign of friendship on their arm. In the port of Nanohana in Arabasta, a group of people are intrigued by an unconscious guy in a restaurant. This strange guy who fell asleep while eating is no other than Portgas D. Ace, Whitebeard's second division commander. This is revealed by an old adversary: Smoker, who also appears to be in town in the search for the Straw Hat Pirates. Ace is looking for his little brother.",
158,"Jango's Dance Paradise, Vol. 25: ""The Brittle Fang Called Justice""
Unwilling to endanger the Tulip Pirates' hostage, Fullbody can do nothing but take a beating from their captain.","The crew is waiting for Luffy to get back, when they spot Mr. 3's ship. Meanwhile, Smoker confronts Ace and the spectators are astonished that a commander of the Whitebeard Pirates is there, while Luffy smells food from the restaurant, Smoker prepares to attack Ace when Luffy rockets into the room. Luffy then orders food while Ace apologizes for the mess and recognizes Luffy, but is pushed down by Smoker who recognizes him as well, but is annoyed by Luffy's lack of interest and rudeness. Luffy then recognizes Smoker and runs away while Ace and Smoker chase after him. Smoker warns Tashigi of Luffy, who then tries to stop Luffy but is unable to, and Smoker is forced to go after him alone. Meanwhile Vivi and Nami are trying out different perfumes to the pleasure of Sanji but to the horror of Chopper. Vivi then explains that they need to get to Yuba so that she may talk with Koza the leader of the rebellion. Suddenly, Luffy appears being chased by marines, including Smoker who attacks him until he is stopped by Ace, whom Luffy recognizes.",
159,"Jango's Dance Paradise, Vol. 26: ""The Returning Man"".
To everyone's shock, Jango has returned to Mirror Ball Island—in his pirate clothes, no less. His first act: to free the Tulip Pirates' hostage.","The Baroque Works association has some strange rules. In order to reach the envied agent seats, its members do not hesitate to kill each other. Mr. 11, who had been arrested by the Marines, learns this at the cost of his life.

Meanwhile, the Straw Hats have escaped the Marines, thanks to Ace, and are heading back to the Going Merry, intending to sail the ship up the river, then continue on to the desert. Prior to departing, Vivi entrusts Karoo with an important task: to carry a letter detailing the situation and explaining what she and Igaram have discovered in regards to the Baroque Works conspiracy to her father, Cobra, in Alubarna, in order to give him hope.

On board of the Merry, Luffy tells his friends about Ace. He is his elder brother by three years, and is a pirate as well. Luffy also expresses his surprise that Ace has eaten a Devil's Fruit - the Mera Mera no Mi. Suddenly, Ace appears on board. He proposes that Luffy and his crew join the Whitebeard Pirates, an offer Luffy flatly denies. Ace tells Luffy of his admiration for Whitebeard, and his desire to see him become the Pirate King, to which Luffy replies that he will just have to fight him for the title.

In Nanohana, Smoker appears concerned: not only because Ace's intervention prevented him from apprehending Luffy, but also because he recognized the princess of Arabasta among the Straw Hat Pirates. He expresses his contempt for the Warlord, telling Tashigi that tigers never change their stripes - once a pirate, always a pirate.

Back on the Going Merry, Ace hands Luffy a strange piece of paper, which he says will help them see each other again, and thanks Luffy's crewmates for taking care of his younger sibling before returning to his ship. Ace is currently chasing after a pirate named Blackbeard, his former subordinate, who committed the unforgivable crime of killing a crewmate. As the boats of the Baroque Agents Billions close in, the members of the Straw Hat crew express their surprise and admiration at the two brothers' relationship. Ace then single-handedly takes down the many Billions ships, urging his brother to meet him, 'at the top'.",
160,"Color Spread: A two-tier display of Baroque Works' Officer Agents, men on upper and women on lower. Luffy, clueless as usual, leads Matsuge through the space left by Mr. 2's lack of female counterpart.","After Ace's departure, the Straw Hat Pirates head to Yuba. They ask Luffy about the piece of paper Ace gave to him, which has nothing written on it. Despite that, Luffy wants to hold on to it because Ace wanted him to, so Nami sews the paper to the underside of Luffy's hat for safekeeping. The Straw Hats change into clothes that will protect them from the burning temperatures, which Vivi warns Luffy about. They arrive at the mouth of the Sandora River, and Vivi explains the way they will travel to Yuba with a map she sketched. They will exit the river and head inland, across from the town of Erumalu, where they will lay anchor. Afterwards, they will travel across the desert to the Yuba Oasis, so Vivi can meet the Rebel leader to explain the situation. Vivi is convinced that they can stop Baroque Works and save her country.

Meanwhile Crocodile and Miss All Sunday are finalizing their plan, which begins in two days at 7 o'clock AM. Crocodile asks Miss All Sunday about the necessary preparations and Miss All Sunday answers reassuringly, telling him about the 150 Billions agents waiting at Nanohana. She also mentions Mr. 2 Bon Kurei's failure in finding and taking care of Mr. 3, much to Crocodile's annoyance. Miss All Sunday also reveals that the remaining Officer Agents are set to meet at Spiders Cafe that night at 8.

Spiders Cafe is revealed to be the Baroque Works Arabasta Headquarters. Inside, a woman is reading a magazine while listening to a vinyl record. Immediately after, Mr. 4 and Miss Merry Christmas come into the Cafe with a ruckus. Miss Merry Christmas blames Mr. 4 for the long trip, which caused her hips to ache, and Mr. 4 apologizes very slowly. Miss Merry Christmas greets the woman, Paula, the owner of the Cafe, and asks her how business is. She notes how there isn't anybody else in the Cafe, and Paula explains that the Cafe is reserved for the Officer Agents that night. Paula mentions how she hasn't seen the Mr. 4 team in a while, and offers an orange pekoe tea to Miss Merry Christmas and an apple tea to Mr. 4. Miss Merry Christmas urges Paula to hurry with the drinks and impatiently bangs on the counter. Paula then asks about their work. Miss Merry Christmas snaps at her, saying work is dangerous as always, so Paula apologizes.

Suddenly, singing is heard in the Cafe despite the music being played being a sonata. Outside, Mr. 2 Bon Kurei and his subordinate Billions dance towards the Spiders Cafe while singing about the okama Way. Mr. 2 Bon Kurei enters the building on tip-toe, causing Paula to ask if Mr. 2 is an idiot. Mr. 2 laughs it off saying he's an okama and asks Paula for an octofait, octopus parfait, which Paula doesn't serve. Mr. 2 then dismisses his billion subordinates, reminding them not to slack off on their dance practice. Meanwhile, Miss Merry Christmas is getting a massage from Mr. 4, and Mr. 2 observes that ""the fat old hag"" is also attending. He then asks Paula about the Mr. 1 pair, whom he has never met. Though he has heard rumors of Mr. 1's intimidating personality, they don't bother Mr. 2. From afar, it is revealed Mr. 3 is spying on the gathering through a window.",
161,"Jango's Dance Paradise, Vol. 27: ""Shall we DANCE?""
Back to back, Jango and Fullbody beat down the Tulip Pirates together.","The Straw Hat Pirates crosss the Sandora River and lands near a town. They then meet a colony of kung-fu dugongs. Vivi explains her friends that the animals normally live in sea water, but because of the current drought, the river has become salty. The same happened to the ghost town they enter. Erumalu was once called a green town, but three years without a drop of rain took the best of its inhabitants and nowadays, Erumalu is nothing but ruins. Vivi then tells them that the only town which did not suffer of lack of water was Alubarna, the capital of Arabasta and the king's residence.

However, two years ago, an ""accident"" happened in Nanohana. A ship cargo is dropped, revealing its content: a huge amount of Dance Powder. The people in charge of the cargo looked terrified and mention that the powder was for the king. The Dance Powder is a forbidden material which has the power to generate rainfall but at the expense of the clouds in the surrounding area. After the scandal, it rained nowhere besides near the king's palace. People started to become suspicious of Vivi's father, unaware that it is part of the mischievous plan brought by Crocodile. Vivi is determined to not let him continue making her people suffer, and all the Straw Hats are ready to help her.",
162,"Jango's Dance Paradise, Vol. 28: ""Two Dancing Heroes, Baby"".
Jango and Fullbody strike a victory pose over the vanquished Tulip Pirates, a huge crowd of civilians cheering them on.","After walking all day in the desert under the sun, the Straw Hats are exhausted, Luffy then drinks some water which upsets Usopp, and the two get into an argument. Finally the Straw Hats take a break, only to have their stuff stolen by thieving birds, Luffy then goes off to chase the birds but encounters a giant lizard. Fortunately it is no match for the straw hats and they kill it, and eat it, they also find a camel whom they name Matsuge. Luffy then starts to hallucinate and after a while falls asleep, forcing the crew to carry him until he wake up, and by night they have reached Yuba, unfortunately Vivi finds something wrong with the town.",
163,"Jango's Dance Paradise, Vol. 29: ""Friendship, Crime, and Duty"".
Despite everything, Jango is still a pirate himself—and Fullbody, resigned to his duty, arrests his new ally.","The Straw Hat Pirates enters Yuba after it was hit by a sandstorm. Nobody is here except, Toto, digging in the sand. When Vivi ask him about the rebels, the old man reveals to them that, due to the drought Yuba faced for three years, the rebels had moved to Katorea, an oasis close to Nanohana, the city they have left before going to Yuba.

When Luffy says Vivi's name, the old man starts to cry, asking the princess if she remembers him. Vivi, in shock, realizes who he is and starts to remember their first encounter.

Eleven years ago, a young kid named Koza asked King Cobra to stop the drought in his village because the villagers were suffering. When Cobra told him it is out of his power, Koza's father, Toto appeared, ashamed by his son's rudeness and begs the king to forgive them. Koza, being too proud to beg the king for forgiveness, rushed out of the room. Cobra was moved by the kid's care for his fellow villagers and decides to allow them to live in Alubarna temporarily until they can decide on what to do.

After confronting the king, Koza, in tears, ran out and encountered young Vivi, who called him a crybaby. This is the start of a fight between the two kids, which rapidly transformed into a friendship. Vivi became the sub-leader of the Sand-Sand Clan, just under Koza. But one day, when Vivi was searching for her leader, she bumped into two dangerous men.",
164,"Jango's Dance Paradise, Vol. 30: ""Marine Headquarters Verdict: Death By Hanging"".
Before a panel of Marine Headquarters judges, Jango is sentenced to death for his crimes.","The Sand-Sand Clan attacks the bandits while Vivi runs away, later Igaram finds the members of the suna suna clan lying around the sand, injured, he asks what happened to which a member tells him, and also tells him that Vivi ran to the ruins and was chased by a bandit who was chased by Koza. The leader of the bandits manages to find Vivi but is confronted by Koza, who stands up to him, and beats him but is stabbed in the process, the other bandits arrive but are stopped by the king and Igaram. Koza is then rushed to the hospital where he is treated, the next day he informs Vivi that he and his dad are going to start new town, by the name of Yuba. It is then revealed that the rebels plan to strike the capitol in one big invasion and take over the government, it is also revealed that Koza is the leader of the rebellion.",
165,"Color Cover: ""Flavor of Sand"".
A snapshot of the Straw Hat Pirates in Arabasta. Luffy and Zoro pose against the setting sun; Nami shows off a vial of perfume; Usopp works on the Clima-Tact while Vivi logs the day's events; and Sanji and Chopper begin an early supper.","Remembering when Mr. Toto left Yuba, Vivi offers him a tissue and promises to stop the rebellion, the crew then decides to stay the night while Mr. Toto, and Luffy continue to dig for water. Meanwhile, the top brass of Baroque Works meet up, but are awaiting for Mr. 0, suddenly Miss All Sunday shows up and reveals that they are in Rain Dinners, a casino owned by Crocodile. It is also revealed that the leader is Crocodile himself and that he has been there the whole time, which surprises all the members, he then explains his ""Utopia"" plan. The next day, the Straw Hats are preparing to leave Yuba, and Mr. Toto gives them some water for their journey, but Luffy suddenly decides to quit.",
166,"Jango's Dance Paradise, Vol. 31: ""Fullbody's Manly, Tearful Objection DANCE!!"".
In the nick of time, Fullbody—and his entire squad—intercede Jango's trial with a heartfelt objection.","An old face interrupts Baroque Works meeting. It is no other than Mr. 3, who snuck in after the other members from Spiders Cafe. He came to be given another chance to defeat the Straw Hats. Crocodile is surprised by this revelation since, after the call from Little Garden, he assumed all of the Straw Hat Pirates and Vivi were dead as he was not aware that it was Sanji who answered the call and lied to him. Mr. 2 confirms that the Straw Hat Pirates and Vivi are alive since he met them on the way to Arabasta. With the help of his power, they are able to make pictures of the Straw Hats (omitting Sanji), and start to take counter measures so that they can prevent Vivi from meeting with the rebel leader, Koza. Disappointed with Mr. 3, instead of giving him a second chance, Crocodile dries him up and feeds him to his Bananawani.

Meanwhile, Luffy and Vivi's argument is intensifying. Luffy finds her naïve in wishing for no one to die. Upset, Vivi and Luffy start a fight until Luffy reveals his true intention: he wants Vivi to risk the life of her friends with her so that he can beat Crocodile, who is responsible for this situation.",
167,"Jango's Dance Paradise, Vol. 32: ""Gettin' Down In Court!!""
The whole courtroom—judges, spectators, and all—gets caught up in Jango and Fullbody's dance of friendship.","Vivi shows the Straw Hat Pirates a map to Rainbase, where Crocodile resides. She says it will take a day to get there from Yuba, and that it is a gambling town, which excites Nami. They are interrupted by Luffy and Usopp fighting over their water, with Luffy refusing to let Toto's hard-earned water be consumed right away. The group then sets off for Rainbase. As they walk, Vivi thanks Luffy for encouraging her to set off on this course of action, and Luffy demands that he be fed in return after he beats Crocodile, which Vivi happily agrees to do.

In Katorea, a young shoe shiner named Kappa begs Koza to let him join the rebel army, but Koza refuses. He has Farafra show Kappa his missing forearm, and asks Kappa if he wants to see the hospital and graveyard. Kappa responds that he is not afraid of any of that, and badly wants to fight against the king because of his sick friend in a town near Erumalu that will soon dry up as well. However, Koza says that Kappa's goals are the opposite of the army's, as none of them want to fight, but have been forced into doing so. He then shouts at the boy to go home. Later, a rebel asks Koza if anything is wrong, as it is not like him to shout at a kid. Koza replies that he was exactly like Kappa years ago, and it made him sick. He asks about the weapons they have obtained, and hears that the effort was not extremely successful due to the royal army preventing them from getting to the warehouse. Koza tells them to notify the rebels in all the towns that once all the weapons are ready, they will begin their attack on Alubarna.

In the Alubarna Palace, Nefertari Cobra rejects Pell and Chaka's request to initiate a go-ahead attack on the rebel army, saying that taking action against them without understanding the cause of the unrest would tear the country apart. He says their real enemy is the figure who is responsible for the Dance Powder, and Chaka replies that it may be too late for the country before they can find that person, but Cobra refuses to relent. Pell and Chaka later sit together, and Pell remarks that they will soon be unable to keep their soldiers in line. He wishes Igaram were here, but Chaka is confident that he and Vivi are working to help the country. A messenger then comes and tells them that Karoo has arrived. As Karoo consumes water after his long journey, Cobra, Pell, and Chaka read Vivi's letter and find out that Crocodile is behind the country's unrest, as well as about Igaram's death. Chaka notices the bandages on Karoo's wing and asks if he is injured, but Karoo refuses to let him examine it. Cobra then orders Chaka to prepare a military campaign to attack Rainbase and Crocodile. However, Pell warns against this, saying Rainbase is too far for their forces to reach covertly and that attacking a public hero like Crocodile would only incur more hatred and rebellion against them. However, Cobra does not care what becomes of them, saying that the people would rebuild the country if Crocodile fell, while fighting against the rebels would do nothing but help the Warlord. He orders Chaka to gather his officers and Pell to scout out the enemy's location, saying their forces will depart tomorrow morning. 17 hours remain until Baroque Works' Operation Utopia begins.",
168,"Jango's Dance Paradise, Vol. 33: ""Acquittal By Style!! Fullbody Demoted"".
Touched by Fullbody's devotion, the judges agree to pardon Jango—at the cost of Fullbody's officer rank.","With one hour until Operation: Utopia starts, the Straw Hat Pirates make it to Rainbase, while Usopp gives Nami her new weapon: the Clima-Tact which causes Sanji to comment that Nami and Vivi do not need weapons and that all they need is him. He then asks them to call him Mr. Prince, which causes Zoro to mockingly call him Mr. Prince, much to the annoyance of Sanji. Vivi then comments that the Baroque Works agents probably know that they are there and that they should be careful. The Straw Hat Pirates debates on what to do once they encounter the Baroque Works.

At Rainbase, Smoker and Tashigi are in a bar. Smoker is saying that he feels that something will happen in Rainbase, when, Luffy and Usopp comically arrive, demanding for water. As each duo recognizes the other, Luffy and Usopp comically spews out their water at Smoker and Tashigi and then flee from the bar.

The rest of the Straw Hat Pirates are waiting for Luffy and Usopp when they see the pair running towards them, with Smoker and Tashigi chasing after them. Nami screams at the pair not to run towards them, and Vivi is worried about Chopper but Zoro tells her not to worry about him. The Marines spot the Straw Hat Pirates and start to chase after them as well. Unfortunately, this causes several Baroque Works agents to notice the events and they recognize the Straw Hat Pirates. Luffy then tells them all to meet up at Croc's house. Smoker decides to chase Luffy, while Sanji decides not to run but to fight as well as Zoro, but he runs at the sight of Tashigi. Meanwhile Usopp and Nami are being chased by several Baroque Works members but manage to lose them, only to encounter another group, but they are quickly defeated by Zoro who shows up. All the Straw Hats then show up in front of Raindinners and enter it while being chased by Marines, Crocodile who has been informed of this, is pleased.",
169,"Jango's Dance Paradise, Vol. 34: ""We Cannot be Friends"".
As Jango prepares to leave Mirrorball Island, Fullbody—now a common recruit—comes to see him off, quietly refusing to shake the pirate's hand.","Luffy noisily enters the casino and demands that Crocodile show himself which disturbs a lot of the people in there. Smoker then runs into the casino as well. While Luffy takes care of the security, the Straw Hats are then escorted to the V.I.P room but this turns out to be a ruse as they fall into a trap. The trapped members of the Straw Hats then start fighting along with Smoker who explains that the prison is made of sea stone, an item that is basically a solid form of the sea which hampers devil fruit power. Crocodile then appears to the prisoners, saying that he is awaiting Vivi and has sent for Miss All Sunday to pick her up. Meanwhile, Vivi is fighting several members of Baroque Works. When Pell arrives and defeats the Baroque Works members, he is then confronted by Miss All Sunday.",
170,"Jango's Dance Paradise, Vol. 35: ""Hypnotism: Just Forget About This Friendship: 1... 2...""
To spare any further heartbreak, Jango prepares to hypnotize both himself and Fullbody into forgetting they ever met.","Miss All Sunday confronts Vivi and Pell, and is promptly attacked by Vivi for killing Igaram but to no avail. Miss All Sunday then ""impales"" Vivi with her hand, which enrages Pell and he attacks but it is no use against Miss All Sunday's devil fruit ability. She then explains that she ate the Hana Hana no Mi a devil fruit which grants her the ability to sprout limbs, she then says that she has no more time to waste on him which angers Pell and he attacks but it is useless and he goes down easily. When Vivi arrives at Crocodile's lair she attacks him but due to his devil fruit ability granted to him by the Suna Suna no Mi the attack goes right through him. He then remarks it is time for the plan to begin, which Miss All Sunday confirms as it is past seven o'clock.",
171,"Jango's Dance Paradise, Vol. 36: ""Stop!!! LOVE SHOCK! ♥ Pretty Lady Officer"".
Jango's and Fullbody's tragic farewell comes to a crashing halt when a beautiful female Marine walks by, leaving both men instantly smitten.","A guard alerts Chaka that the king has disappeared, Chaka then wonders how the king disappeared as there are guards around his room all the time, he then decides to send out search parties. A guard then returns to report to Chaka and tells him that they have found the king ""in a way"", Koza apparently has heard some disturbing news and is rushing towards where the king supposedly is. As he rides he remembers when his father told him not to give up on the king, the news about the rebels reaching 100,000 men, the fighting, the lack of water, his father's faith, his argument with the king, and his change of heart and support of the rebels. At Nanohana the ""king"" is there with an escort of armed guards saying that he has an apology to make and that he will destroy Nanohana, the guards then start to attack as a child confronts the kings. ""Cobra"" merely kicks the child, as Koza arrives, he demands what is going on and ""Cobra"" replies that he is apologizing for using Dance Powder, which enrages Koza, he is then shot by one of the soldiers while the king and his men leave. A giant ship then crashes into port as Mr.1 and Miss Doublefinger walk away, it is then revealed that the king was actually Mr. 2.",
172,"Jango's Dance Paradise, Conclusion: ""Two Peon Pals DANCE!!""
Jango and Fullbody find a happy ending after all: as co-recruits under Captain Hina of Marine Headquarters. In the background, another high-ranking officer walks by with his own two unlikely recruits.","The town of Nanohana is in an uproar as the citizens attempt to put out the fires started by the 'Royal Guards'. Mr. 1 and Miss Doublefinger move to meet Mr. 2 at the edge of town. While Mr. 2 is escaping the ensuing chaos, he is spotted by a young boy, Kappa, who realizes that the 'King' is in fact an imposter. However, before he can alert anyone, he bumps into Mr. 1 and Miss Doublefinger, who decide to take action to prevent the word from getting out. A citizen finds the boy's near lifeless body, but mistakes Kappa's attempts to convey the deception as cries of pain. Upon seeing the wounded boy, a wounded Koza makes the decision to attack immediately. Seemingly serendipitously, the ship that crashed into the harbor was carrying weapons. Koza orders an all-out attack on Alubarna. Meanwhile, in the palace, Chaka is in disbelief at the message brought to him regarding the king appearing in Nanohana. The situation rapidly declining, and the number of rebels rising as news of what happened in Nanohana spread throughout the country, Chaka steels himself and makes the decision to defend the capital and push back the rebellion.

In Rainbase, Crocodile perversely explains his scheme in front of a distraught Vivi, the captured Straw Hat Pirates and Smoker. He recounts the many years of planning and dedication it took to reach where he is today. Vivi, tied to a chair, knocks herself down and attempts to crawl away, still set on cutting off the rebels before they reach Alubarna and preventing the bloodshed. An amused Crocodile tells Vivi that he and Miss All Sunday are on their way to the capital to meet her father. Showing her the key to the cage that holds Luffy and his crew, he tells her she is free to join them if she wishes, then throws the key down a trap-door into a pit of Bananawani.",
173,Animal Theater: Some cliff-dwelling bears share a dinner of campfire-cooked fish with Luffy.,"Before leaving, Crocodile explains to Vivi about the solutions she has got: either she tries to reach the rebels which is impossible in the time that remains now or she tries to save her friends which is also very hard because he threw the key of the cell into the Bananawani pool where one of them ate it. Moreover the building will self destruct in a short time. To make her despair even more, he reveals that he was the responsible of the sandstorm that came one after the others to Yuba oasis and mocks Toto's stupidity. This angers Luffy, causing him to beg Vivi to help them so that he can beat Crocodile. However, the destruction mechanism made the water level in the Bananawani's pool increase. The Bananawani come out of the pool one after the other and start to hunt Vivi who barely escapes these powerful animals.

Meanwhile Crocodile receives a phone call, from the Den Den Mushi he uses to contact the Billions. The voice and the speech of the person speaking reminds him of a certain previous conversation.",
174,"Animal Theater: During a light snow, Zoro enjoys a soak in a hot-spring—as well as fruit and wine—with a pack of macaques.","Sanji, calling himself Mr. Prince, is talking to Crocodile on a Den Den Mushi, and is antagonizing him, Sanji then convinces Crocodile that he has been beaten by a Million and that they are outside the casino. Vivi tries to escape but is stopped by Crocodile, Crocodile then leaves with a parting remark that he will bring Mr. Princes' corpse as a farewell gift to the Straw Hat Pirates in the cage, Vivi does however manage to get out of the room. However when Crocodile leaves the casino he finds his minions defeated, and learns that it was ""Mr. Prince"" that defeated the Millions, he then spots a figure running away from the scene and assumes that it is Mr. Prince so he follows him. As he starts chasing the figure, the bridge to the casino collapses which Vivi views as meaning that she can not get away, but Sanji who is playing at the slots says that it means enemies can not get in, he then asks her to lead the way.",
175,"Color Spread: Luffy poses in a Native American-esque outfit, with bared chest, bighorn helm, a ""PEACE""-emblazoned loincloth, and a huge bow slung across his back; Nami sits beside him, wielding a rifle. A large jaguar slinks in the background, a rabbit-themed helmet strapped atop its head.","The chapter begins with Chopper dashing while Sanji explains to Vivi that Chopper is their decoy. When Vivi asks what happened, Sanji has a flashback of him and one of the Millions talking to Crocodile. After he makes Crocodile believe Sanji was captured by the Millions and was beaten up, Sanji tells Chopper to go on a rampage, shouting out that he is Mr. Prince, which Chopper does. When Crocodile comes to the scene, he sees Chopper and tries to kill him, but Chopper switches from Heavy Point to Brain Point and quietly tiptoes past the enraged Crocodile.

Meanwhile, the trapped Straw Hats are screaming because of the room that is quickly filling with water. Nami tells everyone to make the Bananawani mad so that it would chomp the cage apart, but they find out that the cage is able to resist even the Bananawani's jaws, much to their horror. Usopp and Luffy yell at Smoker asking why he was so calm in such a situation, but Smoker responds by asking how much of Crocodile's plan the Straw Hats know. He reveals that Miss All-Sunday has been running from the government for over 20 years, he then tells them that Crocodile and Miss All Sunday's plan may shake the entire world, but Luffy says that no reasons are needed to beat Crocodile up. When Smoker asks how they are going to escape, the Straw Hats remember their situation and start panicking again, and Luffy starts to feel weak because of the seawater touching him.

When everyone becomes desperate, Sanji finally appears, defeating a Bananawani with a single kick, to everyone's surprise. Everyone becomes full of hope once again, and Luffy gives Vivi a thumbs-up, saying she did a good job. As more Bananawanis close in, Smoker tells the Straw Hats that the third Bananawani that came in is the one that ate the key. When Luffy asks how he knows, Smoker says the growl is the same. Elsewhere, a frustrated Crocodile walks back to where the cage is saying it was smart of the Straw Hats to think of a decoy.

Miss All Sunday asks what if the Straw Hat Pirates already found the key, and Crocodile answers by saying that the key was a fake in the first place and he has the real one. By the time Crocodile arrives in the room, the cage is swinging open underwater, while beaten up Bananawanis and a beaten up Mr. 3 floats in the water with a piece of paper on him that says ""See ya, shitty Croc - Mr Prince"" on it, much to Crocodile's enragement.",
176,"Animal Theater: Chopper, in Heavy Point, feeds a herd of sheep.","A bananawani just spat out a wax ball, while the Straw Hats wonder what it is, Mr. 3 then appears from the inside of the ball, overjoyed at his freedom which surprises everyone. He then notices a key attached to his ball, to which the straw hats shout that it is the key to their cage, Sanji then demands that he hand it over, which just makes him throw it away. Sanji, angered at this prepares to attack, but it stopped by Usopp who reasons that Mr. 3 could just create another key using his powers, Sanji then forced Mr. 3 to make another key to free his friends, which he does. After freeing everyone Sanji says that they have to get out quick, but Vivi says that will be hard with all the bananawani, but much to her shock they are already defeated. Unfortunately the walls then break and water gets through, though luckily the straw hats are able to get out alive, as well as Smoker who was saved by Zoro on Luffy's orders. Vivi then asks Nami to put on her perfume, while the Marines found the straw hats and rushed over to capture them, while Smoker decided to let them go. The straw hats then run away, while Smoker calls the marines back and asks one to call in more reinforcements, meanwhile Chopper has found Nami's scent and located the straw hats while riding on top a giant crab. The crew gets on as Chopper explains that the crab is one of Matsuge's friends, suddenly Vivi is grabbed by Crocodile's hook, but Luffy is able to unhook her and grabs on himself, telling the crew to go on without him as he prepares to fight Crocodile.",
177,"Animal Theater: Usopp and a dog sit by a twisted tree, wearing identical Bolero hats and biting identical bits of jerky.","As Luffy is being flung out to the dessert he asks everyone to get Vivi safely to the royal palace, while Vivi warns him that there are two of them, Zoro then orders Chopper to take them straight to Alubarna, while Nami tells Vivi that Luffy will be fine and everyone in the crew encourages her. Vivi then shouts at Luffy that they will be waiting for him at Alubarna, miss all Sunday laughs at the fact that Vivi has gotten away, but Crocodile is unfazed asking her to contact their agents in Alubarna. Luffy then comments that though Vivi is weak she is still trying to save everyone, that she wants the rebellion to end without anyone dying, Crocodile scoffs at this saying it is foolish and asking Luffy what he thinks, to which he responds that it is foolish. but he also adds that he will stop Crocodile so that Vivi does not have to work so hard, Crocodile also laughs at this as well saying that he has crushed hundreds of people like Luffy into dust. Luffy responds that Crocodile is pretty stupid which angers him immensely but makes Miss All Sunday laugh, Crocodile then questions what she is laughing at calling her by her real name: Nico Robin, she then leaves for Alubarna while Crocodile throws down an hourglass saying that he will only give Luffy three minutes which is fine with Luffy. Luffy then starts to attack Crocodile who manages to evade his attacks easily or else just lets them pass through him, he then tries to tell Luffy that it is pointless to fight him, but Luffy does not listen and keeps up his assault which angers Crocodile even more.",
178,"Animal Theater: Vivi does a daring balance-walk down the bannister of a twisting seaside staircase; a smitten eel emerges from the sea to court her, a rose between its teeth.","Crocodile asks Luffy if they can end the games to which Luffy responds that he has been fighting seriously, Crocodile then comments that they are pirates in two different leagues and attacks Luffy with his escada attack, fortunately Luffy manages to get out of the way in time. Luffy is astonished at Crocodile's power while Crocodile comments that he does not just posses his devil fruit ability like some people, he mastered it and demonstrates this by creating a hole of quicksand. While Luffy is struggling to leave the pit, Crocodile comments that no one can contend with him while in the desert, though Luffy finally manages to get out of the pit. Luffy then comments that if he cannot beat Crocodile, then he will catch him, but this also fails and Crocodile shows Luffy more of his abilities by mummifying his right arm. Crocodile then explains that he merely sucked the water out of his arm, this causes Luffy to run to his water bottle and drink causing Crocodile to comment about it being ridiculous, and Luffy counters saying it is not ridiculous and tells Crocodile the story of Yuba. Luffy then charges Crocodile and literally bites his head off, but Crocodile manages to escape from Luffy's mouth and comment that it is time for him and Yuba to die, Crocodile then creates a sandstorm while commenting on the dryness of the sand that day. Meanwhile people all across Arabasta notice the sandstorm with Vivi realizing that it is Crocodile's doing, Crocodile begins to tell Luffy how strange it is that Yuba keeps getting hit by sandstorms Luffy then puts two and two together, and enraged attacks Crocodile only to be impaled by his hook, while Crocodile comments that pirates like him are coming on the grand line.",
